run,kernel_down_ns,kernel_first_move_ns,trial,action,ui_down_ns,ui_first_move_ns,gl_down_ns,gl_first_move_ns,applied_ns,first_render_ns,half_lane_ns,ninety_lane_ns
1.4-fast-8,1142349863755298,1142349871530611,5,2,1142349865990767,1142349880731498,1142349878447852,1142349895330249,1142349896930718,1142349910776917,1142349943842025,1142350062654537
1.4-fast-8,1142350870572013,1142350878557274,6,3,1142350872975659,1142350887951598,1142350881718316,1142350896629203,1142350898390349,1142350912855246,0,0
1.4-fast-8,1142351877624769,1142351885604770,7,4,1142351880497947,1142351894702167,1142351885589822,1142351900020240,1142351901723574,1142351916202690,0,0
1.4-fast-8,1142352884557578,1142352892539402,8,1,1142352886537057,1142352901690236,1142352886911589,1142352903196695,1142352904894976,1142352916738883,1142352949536595,1142353070051815
1.4-fast-8,1142353891582522,1142353899402471,9,2,1142353893816481,1142353909177368,1142353904867992,1142353921157942,1142353923020963,1142353936800235,1142353970245186,1142354088423844
1.4-fast-8,1142354898660695,1142354906526321,10,3,1142354901001789,1142354916068145,1142354909362936,1142354923842052,1142354925510125,1142354938780699,0,0
1.4-fast-8,1142355905610848,1142355913420015,11,4,1142355908345900,1142355922865329,1142355912397255,1142355926497985,1142355928226423,1142355942613768,0,0
1.4-fast-8,1142356912582146,1142356920754491,12,1,1142356915118917,1142356929882304,1142356928948606,1142356945630274,1142356947492202,1142356962106318,1142356993469133,1142357113638312
1.4-fast-8,1142357919584538,1142357927528914,13,2,1142357921738549,1142357935931727,1142357931910216,1142357948178655,1142357949888447,1142357963808865,1142357995499546,1142358116099245
1.4-fast-8,1142358926592451,1142358934581827,14,3,1142358929432920,1142358944222921,1142358935583285,1142358951610474,1142358953525735,1142358966272351,0,0
1.4-fast-8,1142359933710676,1142359941407500,15,4,1142359935594322,1142359950612136,1142359938105468,1142359953467709,1142359955202449,1142359969525367,0,0
1.4-fast-8,1142360940420308,1142360948419579,16,1,1142360942613068,1142360957519164,1142360955831872,1142360971642186,1142360973130988,1142360988235365,1142361020509743,1142361141400015
1.4-fast-8,1142361947581710,1142361955534576,17,2,1142361950422179,1142361962575253,1142361959091711,1142361975177963,1142361976865359,1142361990692131,1142362038860573,1142362142418292
1.4-fast-8,1142362954591238,1142362962527853,18,3,1142362956670352,1142362971694989,1142362962422176,1142362977605146,1142362979523792,1142362993040721,0,0
1.4-fast-8,1142363961581234,1142363969620818,19,4,1142363965043161,1142363978881704,1142363966023057,1142363980163319,1142363981746392,1142363995854935,0,0
1.4-fast-8,1142364968647480,1142364976549043,20,1,1142364970819303,1142364986145607,1142364982604929,1142364998559670,1142365000217223,1142365014544099,1142365047155977,1142365166353072
1.4-fast-8,1142365975595184,1142365983523050,21,2,1142365979363570,1142365992972374,1142365986856331,1142366001033208,1142366002626124,1142366016612897,1142366049225608,1142366169580724
1.4-fast-8,1142366982733358,1142366990525962,22,3,1142366984854556,1142367000021797,1142366989454087,1142367004311589,1142367006215443,1142367019697892,0,0
1.4-fast-8,1142367989572729,1142367997539188,23,4,1142367991705541,1142368006761376,1142367991799291,1142368022576638,1142368024348618,1142368039384452,0,0
1.4-fast-8,1142368996437360,1142369004543351,24,1,1142368998701475,1142369013780018,1142369009329184,1142369025231686,1142369026901165,1142369041010906,1142369072867785,1142369193369307
1.4-fast-8,1142370003575481,1142370011519493,25,2,1142370005739023,1142370021151629,1142370012776159,1142370027616838,1142370029324078,1142370044259600,1142370075679291,1142370195727792
1.4-fast-8,1142371010578082,1142371018533447,26,3,1142371012581780,1142371027630896,1142371016353186,1142371030677563,1142371032399959,1142371046094283,0,0
1.4-fast-8,1142372017619484,1142372025532245,27,4,1142372020006099,1142372034860423,1142372033414642,1142372049648289,1142372051466831,1142372066165218,0,0
1.4-fast-8,1142373024605209,1142373032543179,28,1,1142373027362397,1142373039851409,1142373036005575,1142373052130525,1142373053919275,1142373069337818,1142373115662771,1142373219880281
1.4-fast-8,1142374031623747,1142374039635050,29,2,1142374034111352,1142374049302395,1142374039688227,1142374054845156,1142374056390000,1142374070630939,1142374103655213,1142374222079756
1.4-fast-8,1142375038438535,1142375046517442,30,3,1142375040357077,1142375055650256,1142375042787285,1142375056899526,1142375058597079,1142375072725101,0,0
1.4-fast-8,1142376045617594,1142376053420772,31,4,1142376047764573,1142376062933533,1142376060182908,1142376076684055,1142376078565149,1142376092760307,0,0
1.4-fast-8,1142377052564413,1142377060521236,32,1,1142377055015455,1142377069836394,1142377063075403,1142377078710561,1142377080274207,1142377094839365,1142377125598066,1142377245604588
1.4-fast-8,1142378059600919,1142378067560451,33,2,1142378061463524,1142378076812588,1142378066847899,1142378081913265,1142378083717432,1142378096842694,1142378130047385,1142378249481042
1.4-fast-8,1142379066565707,1142379074525604,34,3,1142379068941905,1142379084095240,1142379069581645,1142379100527481,1142379102286179,1142379116533993,0,0
1.4-fast-8,1142380073488724,1142380081537319,35,4,1142380075640651,1142380090872945,1142380086731069,1142380103133519,1142380104902634,1142380119042322,0,0
1.4-fast-8,1142381080608616,1142381088459554,36,1,1142381082994137,1142381098171430,1142381090014034,1142381105908098,1142381107487942,1142381121302474,1142381153886176,1142381272970771
1.4-fast-8,1142382087583925,1142382095448092,37,2,1142382090688144,1142382104602937,1142382094025540,1142382107856479,1142382109542104,1142382124413720,1142382172028360,1142382275732173
1.4-fast-8,1142383094556890,1142383102562515,38,3,1142383096883296,1142383111942516,1142383110513089,1142383127192830,1142383129052622,1142383142816686,0,0
1.4-fast-8,1142384101704542,1142384109401678,39,4,1142384104134803,1142384118127356,1142384113705741,1142384129987982,1142384131701212,1142384146488505,0,0
1.4-fast-8,1142385108454747,1142385116550841,40,1,1142385110669486,1142385126056050,1142385117209070,1142385132484645,1142385134217978,1142385148282511,1142385196148141,1142385300278932
1.4-fast-8,1142386115577399,1142386123423077,41,2,1142386117550732,1142386132861619,1142386120015837,1142386135646620,1142386137261516,1142386150197819,1142386198980011,1142386304353147
1.4-fast-8,1142387122667603,1142387130659323,42,3,1142387125515625,1142387139890053,1142387137986563,1142387154025627,1142387155734013,1142387169747035,0,0
1.4-fast-8,1142388129583120,1142388137519788,43,4,1142388131927235,1142388144654737,1142388140774997,1142388156204998,1142388157881769,1142388173087500,0,0
1.4-fast-8,1142389136595564,1142389144523430,44,1,1142389138667023,1142389154061712,1142389144256607,1142389159264629,1142389160748431,1142389174439006,1142389207238644,1142389326564490
1.4-fast-8,1142390143432644,1142390151536759,45,2,1142390145344936,1142390160735875,1142390147195613,1142390161422958,1142390163130563,1142390176664314,1142390225410621,1142390330217142
1.4-fast-8,1142391150648994,1142391158546391,46,3,1142391153090713,1142391167906496,1142391164432016,1142391180596081,1142391182495352,1142391196131863,0,0
